Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [ 0.15235998 -1.70924541], Best Fitness = 19.720278971491027, Evaluations = 8
Generation 240: Best Solution = [-1.29223798e-09  9.94958637e-01], Best Fitness = 0.9949590570932898, Evaluations = 1928
Generation 241: Best Solution = [-1.29223798e-09  9.94958637e-01], Best Fitness = 0.9949590570932898, Evaluations = 1936
Generation 242: Best Solution = [-1.29223798e-09  9.94958637e-01], Best Fitness = 0.9949590570932898, Evaluations = 1944
Generation 243: Best Solution = [-1.29223798e-09  9.94958637e-01], Best Fitness = 0.9949590570932898, Evaluations = 1952
Generation 244: Best Solution = [-1.29223798e-09  9.94958637e-01], Best Fitness = 0.9949590570932898, Evaluations = 1960
Generation 245: Best Solution = [-1.29223798e-09  9.94958637e-01], Best Fitness = 0.9949590570932898, Evaluations = 1968
Generation 246: Best Solution = [-1.29223798e-09  9.94958637e-01], Best Fitness = 0.9949590570932898, Evaluations = 1976
Generation 247: Best Solution = [-1.29223798e-09  9.94958637e-01], Best Fitness = 0.9949590570932898, Evaluations = 1984
Generation 248: Best Solution = [-1.29223798e-09  9.94958637e-01], Best Fitness = 0.9949590570932898, Evaluations = 1992
Generation 249: Best Solution = [-1.29223798e-09  9.94958637e-01], Best Fitness = 0.9949590570932898, Evaluations = 2000
